name,neighbourhood,room_type,bedrooms,bathrooms,minimum_nights,price,availability_365,number_of_reviews,review_score,is_superhost
Central Boston Beacon Hill 2brm,Beacon Hill,Entire home/apt,2.0,1.0,10,104.0,234,324,97.0,0
City Views|19th Cent. Past on Tremont| 1BR 1BA #5,Roxbury,Entire home/apt,1.0,1.0,30,113.0,145,79,85.0,0
"Charming South End Brownstone, 2bedroom with a patio",South End,Entire home/apt,2.0,1.0,3,183.0,138,128,89.0,0
"Sunny 2-Bed Apt Next to T, close to BU & BC",Brighton,Entire home/apt,2.0,1.0,28,96.0,151,96,99.0,1
Entire Top Floor (2 bed/2 ba) by BC,Brighton,Private room,2.0,2.0,3,211.0,298,61,93.0,0
"""La Gemma"" - a gem in the North End",North End,Entire home/apt,2.0,1.5,2,266.0,324,205,99.0,1
Brownstone Luxury Penthouse Condo,Fenway,Private room,1.0,1.0,2,139.0,89,115,98.0,1
Walk To Beach or City 1 -Our #1 Requested Room,Dorchester,Private room,1.0,1.0,1,42.0,360,225,90.0,0
"Huge sunny room, red subway to downtown, 91day min",Dorchester,Private room,1.0,1.0,91,50.0,158,69,96.0,0
The Nantucket Room near Harvard Square,Allston,Private room,1.0,1.0,2,48.0,0,217,98.0,1
Forest Treasure of Bountiful Wealth,Jamaica Plain,Private room,1.0,1.0,29,74.0,0,156,97.0,1
Boston Back Bay/Copley Square,Back Bay,Entire home/apt,1.0,1.0,3,186.0,335,34,91.0,1
Great location! 3 BD single fam. Kid-friendly.,Back Bay,Entire home/apt,3.0,2.5,91,554.0,0,15,100.0,0
"Large room, wood floor, 2 windows",South Boston,Private room,1.0,1.0,5,56.0,88,147,89.0,0
"Sunny room, en-suite bathroom, minutes to Boston",East Boston,Private room,1.0,1.0,3,75.0,0,355,98.0,1
The Meditation Room near Harvard Square,Allston,Private room,1.0,1.0,91,59.0,327,171,96.0,1
Large 3.5 BR|2 BA Penthouse Duplex,Beacon Hill,Entire home/apt,4.0,2.0,10,479.0,350,185,99.0,1
Pvt tree top suite in great location,Jamaica Plain,Private room,1.0,1.0,2,99.0,88,155,100.0,1
Spacious room convenient to subway,Jamaica Plain,Private room,1.0,1.0,2,48.0,146,241,97.0,0
"Free parking, 1 private room",West Roxbury,Private room,1.0,1.5,2,71.0,262,106,96.0,0
Beautiful 3 bed/2 bath: 5 miles to Copley Sq.,West Roxbury,Entire home/apt,3.0,2.0,1,185.0,235,153,98.0,1
Renovated 2BR | 1.5BA on Charles St,Beacon Hill,Entire home/apt,2.0,1.5,10,695.0,285,216,99.0,1
Spacious Condo & Great for Groups,Brighton,Entire home/apt,2.0,1.0,91,200.0,365,202,88.0,0
`Hidden Gem in Boston,Hyde Park,Entire home/apt,1.0,1.0,1,89.0,0,117,98.0,0
Great city views top floor one bed #7,South End,Entire home/apt,1.0,1.0,28,110.0,315,75,97.0,1
⭐️Berklee 360°Deck⭐️ PrivateBath ⭐️ WalkScore95 ⭐️,South End,Private room,1.0,1.0,3,191.0,173,203,99.0,1
Spacious 5BR Condo Near Metro,Jamaica Plain,Entire home/apt,5.0,2.0,3,400.0,333,111,98.0,1
"Large room, excellent access",South Boston,Private room,1.0,1.0,5,53.0,82,65,93.0,0
Luxury Sunny Hill Townhouse Unit #2,Roxbury,Entire home/apt,3.0,2.0,28,536.0,365,15,81.0,0
Cozy private room near bus stop,Roslindale,Private room,1.0,1.0,28,50.0,362,10,98.0,0
Beautiful Waterfront Location.,South Boston Waterfront,Private room,1.0,2.0,1,149.0,361,226,97.0,1
"Sunny renovated 1 bed, near BC,BU",Brighton,Entire home/apt,1.0,1.0,91,90.0,162,31,88.0,1
south end/back bay brownstone,Back Bay,Entire home/apt,2.0,1.5,3,277.0,289,54,100.0,0
Vintage Brownstone on Newbury|1 BR 1BA #3,Back Bay,Entire home/apt,1.0,1.0,2,93.0,124,96,95.0,0
Renovated Boston Apartment,Charlestown,Entire home/apt,1.0,1.0,91,200.0,0,24,94.0,0
Entire Loft Apt in Prestigious Beacon Hill,Downtown,Entire home/apt,1.0,1.0,91,109.0,339,258,95.0,1
Experience an 1880s Victorian house,Jamaica Plain,Private room,1.0,1.0,1,95.0,247,221,96.0,1
"Treetop and Ocean view, safe, near metro",Dorchester,Private room,1.0,2.5,91,70.0,365,26,98.0,0
