name,type,borough,street,city,zip_code,state,latitude,longitude,average_rating,num_reviews,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,photos_count,business_status,range,verified,place_id
Big Jones,Southern restaurant (US),Edgewater,5347 N Clark St,Chicago,60640,Illinois,41.9794493,-87.6680875,4.3,1595,65,68,141,314,1007,1405,OPERATIONAL,$$,True,ChIJbffEpojRD4gRCMjrcCJbV_4
Mas Alla del Sol,Mexican restaurant,Edgewater,5848 N Broadway,Chicago,60660,Illinois,41.9883806,-87.6604472,4.6,790,16,12,35,119,608,660,OPERATIONAL,$$,True,ChIJPZeks53RD4gR_ED7pqrOzA8
Svea Restaurant,Swedish restaurant,Edgewater,5236 N Clark St,Chicago,60640,Illinois,41.9773034,-87.6685165,4.6,476,6,8,32,97,333,274,OPERATIONAL,$,True,ChIJ7VJ-b4jRD4gRqSv4jB9HO38
Andie's Restaurant,Mediterranean restaurant,Edgewater,5253 N Clark St,Chicago,60640,Illinois,41.977739,-87.668246,4.3,535,22,23,46,116,328,290,OPERATIONAL,$$,True,ChIJkUZlfojRD4gROMz3SeWDYdo
Pauline's,Breakfast restaurant,Edgewater,1754 W Balmoral Ave,Chicago,60640,Illinois,41.979863,-87.6743772,4.5,823,14,12,51,186,560,492,OPERATIONAL,$,True,ChIJgQw0jYvRD4gRXORjbUrNq4s
Simply Pasteur,Vietnamese restaurant,Edgewater,5525 N Broadway,Chicago,60640,Illinois,41.9825693,-87.6597405,4.3,500,27,21,36,89,327,428,OPERATIONAL,$$,True,ChIJWQMpBZTRD4gRCNDm6-dgGWA
The Waterfront Cafe,Restaurant,Edgewater,6219 N Sheridan Rd,Chicago,60660,Illinois,41.9952591,-87.6547877,4.4,686,32,13,56,142,443,684,CLOSED_TEMPORARILY,$$,True,ChIJKVM603TRD4gRnmNXfarUYv0
Piatto Pronto,Deli,Edgewater,5624 N Clark St,Chicago,60660,Illinois,41.984238,-87.669081,3.7,483,144,8,4,28,299,53,OPERATIONAL,$,False,ChIJswqwwY_RD4gRm1ap2aqdW8M
The Dearborn,American restaurant,Chicago Loop,145 N Dearborn St,Chicago,60602,Illinois,41.8843373,-87.6292766,4.6,4652,75,80,209,811,3477,4305,OPERATIONAL,$$,True,ChIJ-XdXNKUsDogRW-m5g5Siao8
Raffi's Locale,Italian restaurant,Dunning,7547 W Irving Park Rd,Chicago,60634,Illinois,41.9523702,-87.8164467,4.7,207,5,4,5,20,173,97,OPERATIONAL,$$,True,ChIJvzr4I-jLD4gRe3g7tUVQ-WM
Bust Outs,American restaurant,Forest Glen,5200 N Elston Ave,Chicago,60630,Illinois,41.9754038,-87.7522887,4.7,399,10,11,16,25,337,275,OPERATIONAL,$$,True,ChIJQ_n1iFTND4gRK6m4m0gqSYE
Little Goat Diner,Diner,Lake View,3325 N Southport Ave,Chicago,60657,Illinois,41.9423438,-87.6635606,4.7,7739,126,129,345,1081,6058,5149,OPERATIONAL,$$,True,ChIJ-zu2tdosDogRx95ZkNcp7t0
Forno Rosso Pizzeria Napoletana,Pizza restaurant,Dunning,3719 N Harlem Ave,Chicago,60634,Illinois,41.947658,-87.806747,4.6,1799,77,25,56,178,1463,1042,OPERATIONAL,$$,True,ChIJ4VC46K_LD4gRSBSCs-5TaU8
Community Tavern,Restaurant,Portage Park,4038 N Milwaukee Ave,Chicago,60641,Illinois,41.9541155,-87.7487216,4.8,755,7,7,19,89,633,819,OPERATIONAL,$$$,True,ChIJwwllWkbMD4gRlB69I7W-dKU
Gordon Ramsay Burger,Hamburger restaurant,Near North Side,2 E Ontario St,Chicago,60611,Illinois,41.8935196,-87.627921,4.2,2923,226,165,283,419,1830,4011,OPERATIONAL,$$,True,ChIJKQMYP-stDogRylePgyGTXjw
Gale Street Inn Chicago,Restaurant,Jefferson Park,4914 N Milwaukee Ave,Chicago,60630,Illinois,41.9699297,-87.7628968,4.5,1311,46,30,54,242,939,641,OPERATIONAL,$$,True,ChIJeXTItBvMD4gRJ4hG5yqifss
Apolonia,Restaurant,South Loop,105 E Cermak Rd,Chicago,60616,Illinois,41.8526966,-87.6234958,4.6,560,17,8,36,58,441,865,OPERATIONAL,$$,True,ChIJO2tjG1ctDogRTyaf6oWJ1ak
Anelya,Ukrainian restaurant,Avondale,3472 N Elston Ave,Chicago,60618,Illinois,41.9442056,-87.7056575,4.5,169,9,5,11,19,125,313,OPERATIONAL,$$,True,ChIJX0Q0cfnND4gRQls6tng3lEQ
EL G-FE,Mexican restaurant,Archer Heights,4253 W 47th St,Chicago,60632,Illinois,41.8076547,-87.7305364,4.1,764,86,35,57,125,461,433,OPERATIONAL,$$,True,ChIJN37t4dMxDogRUnhvV245uI4
Daisies,Restaurant,Logan Square,2375 N Milwaukee Ave,Chicago,60647,Illinois,41.9244424,-87.6996148,4.4,1028,72,32,62,121,741,1380,OPERATIONAL,$$,True,ChIJMbRTOnvND4gRrup6n88Rwa4
Standard Pho,Pho restaurant,Tri-Taylor,1014 S Western Ave Unit C,Chicago,60612,Illinois,41.8686647,-87.6864993,4.6,145,4,3,9,13,116,208,OPERATIONAL,$$,True,ChIJU7tA1AItDogRRdQ7bt-TeXE
Dunning Pour House,Bar,Dunning,7718 W Addison St,Chicago,60634,Illinois,41.9453574,-87.8204284,4.7,354,10,2,9,45,288,138,OPERATIONAL,$$,True,ChIJgbEs2FPKD4gRKCRxnsCBlk4
Tacotlan,Mexican restaurant,Belmont Gardens,4312 W Fullerton Ave,Chicago,60639,Illinois,41.9246009,-87.7346719,4.2,1351,139,55,74,148,935,863,OPERATIONAL,$$,True,ChIJ__9jqh3ND4gRyXxBP4BY1Tk
Bryn Mawr Breakfast Club,Restaurant,Belmont Gardens,4459 W Belmont Ave,Chicago,60641,Illinois,41.9387335,-87.7392414,4.7,480,23,5,13,35,404,642,OPERATIONAL,$$,True,ChIJIYjfuAfND4gRpPBS5rkMSwE
Beautiful Rind,Restaurant,Logan Square,2211 N Milwaukee Ave,Chicago,60647,Illinois,41.921171,-87.6942539,4.9,180,2,2,2,7,167,104,OPERATIONAL,$$,True,ChIJPxkbvoDTD4gRnzZ5kvUEgvE
Meli Cafe,American restaurant,Near North Side,540 N Wells St,Chicago,60654,Illinois,41.8920088,-87.6342982,4.3,1343,63,47,103,290,840,828,OPERATIONAL,$$,False,ChIJo1iMbrQsDogRnV0fPvbsNT0
Honore Storage,Self-storage facility,Uptown,5145 N Clark St,Chicago,60640,Illinois,41.9757677,-87.6678954,4.9,243,3,1,0,6,233,4,OPERATIONAL,,True,ChIJAQD0_YfRD4gRf5N4A4eGFZU
