station_name,latitude,longitude
Hyde Park Ave at Walk Hill St,42.29606704649873,-71.11601199963843
Washington St at Denton Terr,42.280728147169015,-71.13423757273267
Dorchester Ave at King St,42.291756216320906,-71.0625918023743
The Dimock Center,42.3193094317828,-71.09639923859504
18 Dorrance Warehouse,42.387151,-71.075978
Broadway at Grafton St,42.40994213011757,-71.14009319811883
Morton St T,42.280725142920296,-71.08617242434775
Jamaica St at South St,42.3060456272408,-71.11570891001975
ID Building East,42.344827,-71.028664
Martha Eliot Health Center,42.324173,-71.10195999999998
Innovation Lab - 125 Western Ave at Batten Way,42.36314498882458,-71.12298574307715
Thorndike Field at Minuteman Bikeway,42.40016804853787,-71.14456963094199
Gallivan Blvd at Adams St,42.28297567840305,-71.05466698296368
Blue Hill Ave at Almont St,42.274620671812244,-71.09372552493369
Mt. Hope St at Hyde Park Ave,42.28484472443536,-71.11874517062459
Glendon St at Condor St,42.38240377674137,-71.03024303913115
The Overlook at St. Gabriel's,42.346790083473465,-71.1454981380666
Uphams Corner,42.31727474327453,-71.06537003967787
Bennington St at Constitution Beach,42.385223935870535,-71.01063068965232
Roslindale Village - South St,42.287072,-71.12775400000002
Nonantum Library,42.36068455768156,-71.20146199598821
Mattapan T Stop,42.267902,-71.093641
Gove St at Orleans St,42.370577532421386,-71.03558540113227
Whittier St Health Center,42.33286288486264,-71.09218861916816
Washington St at Crafts St,42.35389024396587,-71.19943707257335
Uphams Corner T Stop - Magnolia St at Dudley St,42.318697341722434,-71.06978148221971
West Newton Armory,42.34947178098653,-71.22000678911718
Mattapan Library,42.2773889,-71.09325
Encore,42.393292632251615,-71.0724475979805
Boston East - 126 Border St,42.373312125824704,-71.0410200806291
Belgrade Ave at Walworth St,42.28634589486312,-71.13672129828045
Franklin Park - Seaver St at Humboldt Ave,42.309796,-71.092225
Washington St at Talbot Ave,42.290333,-71.07180600000002
West Newton,42.349600498642076,-71.22627496719359
Bacon St at Washington St,42.357119209098656,-71.1860453666327
The Eddy - New St at Sumner St,42.370744,-71.044201
Spring St at Powell St,42.277484442008216,-71.16341467955863
Kearins Playground,42.40616124132246,-71.06041654944418
Talbot Ave At Blue Hill Ave,42.2945833,-71.087111
Blue Hill Ave at Havelock St,42.286012,-71.090986
Revere City Hall,42.40741,-71.0139
Union St at Herrick Rd – Newton Centre Green Line,42.32956868185623,-71.19367271661757
Washington St at Fuller St,42.281986277339136,-71.07147924620222
West End Park,42.36590788445085,-71.06446668505669
Centre St at Parkway YMCA,42.28277901074054,-71.15728851416861
Centre St at Washington St,42.35574334805774,-71.18641942508475
American Legion Hwy at Canterbury St,42.278811581565975,-71.11687703062671
Revere Public Library,42.408088,-71.008942
Hale Park,42.414962648832656,-71.0527930100943
Harrison Ave at E. Dedham St,42.339194,-71.06975
St Mary's,42.346197076555455,-71.10728681087494
Harvard Stadium: N. Harvard St at Soldiers Field Rd,42.368019,-71.1242
Broadway at Maple St,42.41034690976785,-71.05260457852637
BCBS Quincy,42.27600498756665,-71.03924982267927
Boylston St at Arlington St,42.35204262229711,-71.07057809829713
Union Square - Somerville,42.379674481034215,-71.09391324240278
Fields Corner T Stop,42.2996667,-71.0605833
Washington Sq,42.339406591979454,-71.13489642273633
Beacon St at Hawes St,42.34496783328529,-71.11040176903771
Washington St at Bradlee St,42.29916497936589,-71.07345871645518
Main Street at Carter Street,42.40615157266351,-71.0604074504954
Piers Park,42.364892932664795,-71.03497177362442
Washington St at Walsh Playground,42.277194696397906,-71.06955613950049
Airport T Stop - Bremen St at Brooks St,42.37535497133996,-71.03133335709572
Franklin Park - Seaver St at Humbolt Ave,42.309796,-71.092225
Central Ave at River St,42.27094707029229,-71.07337901405117
Beacon St at Englewood Ave,42.33736915370925,-71.14485977232106
Broadway T Stop,42.34278116224414,-71.05747275072645
Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919031768079,-71.11714124679565
Boylston St at Dartmouth St FORMER,42.350413,-71.07655
BCBS Hingham,42.16722555541654,-70.90555783370291
