neighbourhood,room_type,bathrooms,bedrooms,price,number_of_reviews,review_score,is_superhost
Norwood Park,Private room,1.0,1.0,35.0,229,95.0,1
Lake View,Private room,1.0,1.0,63.0,154,99.0,1
Logan Square,Entire home/apt,1.0,1.0,63.0,249,96.0,1
Hyde Park,Private room,1.0,2.0,90.0,165,95.0,1
Rogers Park,Entire home/apt,2.0,3.0,80.0,141,98.0,1
West Town,Entire home/apt,1.0,1.0,125.0,179,99.0,1
Lincoln Park,Entire home/apt,2.0,3.0,139.0,141,96.0,1
Lake View,Entire home/apt,1.0,3.0,176.0,166,98.0,1
Archer Heights,Private room,1.0,1.0,36.0,425,94.0,1
Uptown,Private room,1.0,1.0,52.0,120,93.0,0
Lake View,Entire home/apt,1.0,1.0,149.0,114,97.0,1
Logan Square,Shared room,1.0,1.0,27.0,100,100.0,1
Logan Square,Private room,1.0,1.0,60.0,215,98.0,1
Armour Square,Private room,2.0,1.0,69.0,132,93.0,0
North Center,Entire home/apt,1.0,1.0,100.0,111,99.0,0
Lake View,Private room,1.0,1.0,69.0,145,99.0,1
Edgewater,Entire home/apt,1.0,1.0,75.0,162,99.0,1
Edgewater,Private room,1.0,1.0,45.0,198,99.0,1
West Town,Entire home/apt,1.0,1.0,69.0,164,97.0,0
Armour Square,Private room,2.0,1.0,49.0,131,92.0,0
West Town,Entire home/apt,1.0,3.0,76.0,147,98.0,0
North Park,Private room,1.0,1.0,84.0,118,97.0,1
Norwood Park,Private room,1.0,1.0,34.0,242,95.0,1
West Town,Entire home/apt,1.0,1.0,67.0,273,96.0,1
Humboldt Park,Entire home/apt,1.0,3.0,75.0,243,98.0,1
Jefferson Park,Entire home/apt,1.0,2.0,73.0,174,99.0,1
West Town,Entire home/apt,1.0,2.0,99.0,122,98.0,0
Loop,Entire home/apt,2.0,2.0,99.0,290,93.0,0
Logan Square,Entire home/apt,1.0,2.0,63.0,139,93.0,0
Logan Square,Entire home/apt,1.0,2.0,61.0,346,96.0,1
Lincoln Park,Private room,1.0,1.0,99.0,174,100.0,1
Edgewater,Entire home/apt,1.0,3.0,116.0,261,99.0,1
Near North Side,Private room,1.0,1.0,80.0,171,96.0,0
Lake View,Entire home/apt,1.0,1.0,83.0,150,98.0,0
North Lawndale,Private room,1.0,1.0,28.0,170,91.0,0
